File,Application Name,Compositor,Date and Time,Average FPS (Application),Average frame time (ms) (Application),Minimum frame time (ms) (Application),Maximum frame time (ms) (Application),Median frame time (ms) (Application),Standard deviation of frame time (ms) (Application),0.1st-percentile frame time (ms) (Application),1st-percentile frame time (ms) (Application),5th-percentile frame time (ms) (Application),25th-percentile frame time (ms) (Application),75th-percentile frame time (ms) (Application),95th-percentile frame time (ms) (Application),99th-percentile frame time (ms) (Application),99.9th-percentile frame time (ms) (Application),Missed frames (Application),Average number of missed frames (Application),Maximum number of consecutive missed frames (Application),Missed frames (Compositor),Average number of missed frames (Compositor),Maximum number of consecutive missed frames (Compositor),Average Estimated Driver Lag (ms),Width,Height,User Note,Motherboard,OS,Processor,System RAM,Base Driver Version,Driver Package,GPU #,GPU,GPU Core Clock (MHz),GPU Memory Clock (MHz),GPU Memory (MB)
OCAT-javaw.exe-2023-11-29T172318.csv,javaw.exe,DWM,20231129-172318,37.1,26.9,3.0,11524.1,16.7,276.9,3.4,8.9,16.2,16.5,16.8,17.2,33.4,3118.2,7,0.0,2,0,0.0,0,60.2,1366,768,,"HP 85B1","Windows 10 Home Single Language 22H2 OS Build 19045.3693","AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx  ",6 GB DDR4 2400 MT/s,20.50.30.05,20.50.30.05-211028a-373104C-HP,1,AMD Radeon(TM) Vega 8 Graphics,1200,1200,2048
OCAT-javaw.exe-2023-11-30T154858.csv,javaw.exe,DWM,20231130-154858,83.8,11.9,2.5,106.5,4.1,15.1,2.5,2.8,2.9,3.4,6.6,39.8,50.5,97.2,270,0.3,4,0,0.0,0,13.5,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
OCAT-javaw.exe-2023-11-30T155004.csv,javaw.exe,DWM,20231130-155004,24.5,40.9,2.7,196.4,39.5,19.9,2.8,3.3,18.5,33.8,43.0,60.2,115.4,185.4,0,0.0,0,0,0.0,0,41.9,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
OCAT-javaw.exe-2023-11-30T155012.csv,javaw.exe,DWM,20231130-155012,22.1,45.2,2.9,177.9,40.4,32.6,2.9,3.1,4.9,33.1,43.7,61.7,153.6,175.5,0,0.0,0,0,0.0,0,44.3,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
OCAT-javaw.exe-2023-11-30T160240.csv,javaw.exe,DWM,20231130-160240,52.2,19.2,2.3,1945.3,17.0,16.3,2.9,3.6,5.2,10.9,24.0,41.4,51.4,106.9,5133,0.1,4,0,0.0,0,26.8,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
OCAT-javaw.exe-2023-11-30T162405.csv,javaw.exe,DWM,20231130-162405,102.6,9.7,2.6,176.6,9.1,7.4,2.8,3.0,3.5,6.8,11.8,16.8,19.9,78.8,325,0.3,3,0,0.0,0,12.7,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
OCAT-XboxGameBarWidgets.exe-2023-11-30T162434.csv,XboxGameBarWidgets.exe,DWM,20231130-162434,0.1,6670.1,4.6,57.2,7.5,22.0,4.6,4.7,4.8,5.3,21.4,50.0,55.8,57.1,0,0.0,0,0,0.0,0,20.4,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
,javaw.exe,DWM,20231130-162418,27.8,35.9,0.5,3673.2,11.4,51.1,0.8,1.7,2.3,8.4,22.4,34.0,39.4,206.0,4085,0.2,14,0,0.0,0,19.8,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
OCAT-javaw.exe-2023-11-30T162429.csv,javaw.exe,DWM,20231130-162429,70.7,14.2,0.7,3692.6,9.3,34.0,1.8,2.1,2.7,7.1,14.5,32.3,34.6,200.6,5509,0.3,4,0,0.0,0,15.4,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
OCAT-javaw.exe-2023-11-30T164243.csv,javaw.exe,DWM,20231130-164243,109.7,9.1,2.8,57.0,9.0,2.2,3.2,5.1,6.1,8.0,10.0,12.2,13.0,18.3,652,0.3,2,0,0.0,0,10.2,0,0,,"HP 887A","Windows 11 Home Single Language 22H2 OS Build 22621.2715","AMD Ryzen 3 5300U with Radeon Graphics         ",11 GB DDR4 3200 MT/s,22.20.44,22.20.44-221025a-387389C-HP,1,AMD Radeon(TM) Graphics,1500,1333,512
